data,event-type,id,key,name,probable-cause,severity,task,text,container,host,level,neid,process,service,system,time,timezone,type,userid
{},communicationsAlarm,164000,2522dc33c78c417650f42cdacea2e9914e51671f756022e0a51ec154e46670c6,heartbeat,other,minor,notify,Heartbeat alarm,d7cf2206339b,mkt-ntas1-ref-reporting-1,warning,409395,alarm-streamer,alarm-streamer,mkt-ntas1-ref,2021-03-03T04:25:40.598776Z,CET,alarm,
{},communicationsAlarm,164000,2522dc33c78c417650f42cdacea2e9914e51671f756022e0a51ec154e46670c6,heartbeat,other,minor,notify,Heartbeat alarm,d7cf2206339b,mkt-ntas1-ref-reporting-1,warning,409395,alarm-streamer,alarm-streamer,mkt-ntas1-ref,2021-03-03T04:15:40.593003Z,CET,alarm,
{},communicationsAlarm,164000,2522dc33c78c417650f42cdacea2e9914e51671f756022e0a51ec154e46670c6,heartbeat,other,minor,notify,Heartbeat alarm,d7cf2206339b,mkt-ntas1-ref-reporting-1,warning,409395,alarm-streamer,alarm-streamer,mkt-ntas1-ref,2021-03-03T04:05:40.557929Z,CET,alarm,
{},communicationsAlarm,164000,2522dc33c78c417650f42cdacea2e9914e51671f756022e0a51ec154e46670c6,heartbeat,other,minor,notify,Heartbeat alarm,d7cf2206339b,mkt-ntas1-ref-reporting-1,warning,409395,alarm-streamer,alarm-streamer,mkt-ntas1-ref,2021-03-03T03:55:40.553407Z,CET,alarm,
{},communicationsAlarm,164000,2522dc33c78c417650f42cdacea2e9914e51671f756022e0a51ec154e46670c6,heartbeat,other,minor,notify,Heartbeat alarm,d7cf2206339b,mkt-ntas1-ref-reporting-1,warning,409395,alarm-streamer,alarm-streamer,mkt-ntas1-ref,2021-03-03T03:45:40.543879Z,CET,alarm,
{},communicationsAlarm,164000,2522dc33c78c417650f42cdacea2e9914e51671f756022e0a51ec154e46670c6,heartbeat,other,minor,notify,Heartbeat alarm,d7cf2206339b,mkt-ntas1-ref-reporting-1,warning,409395,alarm-streamer,alarm-streamer,mkt-ntas1-ref,2021-03-03T03:35:40.53968Z,CET,alarm,
{},communicationsAlarm,164000,2522dc33c78c417650f42cdacea2e9914e51671f756022e0a51ec154e46670c6,heartbeat,other,minor,notify,Heartbeat alarm,d7cf2206339b,mkt-ntas1-ref-reporting-1,warning,409395,alarm-streamer,alarm-streamer,mkt-ntas1-ref,2021-03-03T03:25:40.533437Z,CET,alarm,
{},communicationsAlarm,164000,2522dc33c78c417650f42cdacea2e9914e51671f756022e0a51ec154e46670c6,heartbeat,other,minor,notify,Heartbeat alarm,d7cf2206339b,mkt-ntas1-ref-reporting-1,warning,409395,alarm-streamer,alarm-streamer,mkt-ntas1-ref,2021-03-03T03:15:40.523463Z,CET,alarm,
{},communicationsAlarm,164000,2522dc33c78c417650f42cdacea2e9914e51671f756022e0a51ec154e46670c6,heartbeat,other,minor,notify,Heartbeat alarm,d7cf2206339b,mkt-ntas1-ref-reporting-1,warning,409395,alarm-streamer,alarm-streamer,mkt-ntas1-ref,2021-03-03T03:05:40.401734Z,CET,alarm,
{},communicationsAlarm,164000,2522dc33c78c417650f42cdacea2e9914e51671f756022e0a51ec154e46670c6,heartbeat,other,minor,notify,Heartbeat alarm,d7cf2206339b,mkt-ntas1-ref-reporting-1,warning,409395,alarm-streamer,alarm-streamer,mkt-ntas1-ref,2021-03-03T02:55:40.398893Z,CET,alarm,
{},communicationsAlarm,164000,2522dc33c78c417650f42cdacea2e9914e51671f756022e0a51ec154e46670c6,heartbeat,other,minor,notify,Heartbeat alarm,d7cf2206339b,mkt-ntas1-ref-reporting-1,warning,409395,alarm-streamer,alarm-streamer,mkt-ntas1-ref,2021-03-03T02:45:40.317813Z,CET,alarm,
